DataFormWord	Data Form	True
DatabaseInsert	Insert Database	True
DateAndTimeInsert	Date & Time...	True
DefineNewNumberFormat	Define New Number Format...	True
Definition		
DeleteAllResolvedComments	Delete All Resolved Comments	False
DeleteNode	Delete Point	True
DeleteSegment	Delete Segment	False
DeleteStyle	Delete Style	True
DeleteWord	Delete Word	True
DeleteWordBack	Delete Back Word	True
DesignMode	Design Mode	True
DiagramAutoFormatClassic	Use AutoFormat	False
DiagramAutoLayoutClassic	AutoLayout	False
DiagramChangeToCycleClassic	Cycle	False
DiagramChangeToMenuClassic	Change To	False
DiagramChangeToPyramidClassic	Pyramid	False
DiagramChangeToRadialClassic	Radial	False
DiagramChangeToTargetClassic	Target	False
DiagramChangeToVennDiagramClassic	Venn	False
DiagramCycleInsertClassic	Cycle Diagram	True
DiagramExpandClassic	Expand	False
DiagramFitToContentsClassic	Fit to Contents	False
DiagramPyramidInsertClassic	Pyramid Diagram	True
DiagramRadialInsertClassic	Radial Diagram	True
DiagramResizeClassic	Resize	False
DiagramReverseClassic	Reverse	False
DiagramShapeInsertClassic	Insert Shape	False
DiagramShapeMoveBackwardClassic	Move Shape Backward	False
DiagramShapeMoveForwardClassic	Move Shape Forward	False
DiagramStylesClassic	Diagram Styles...	False
DiagramTargetInsertClassic	Target Diagram	True
DiagramVennDiagramInsertClassic	Venn Diagram	True
DiagrammingOnline	Ink to Shape	False
Dictate	Dictate	True
DictateInMenu	Dictate	True
DictationMenu	Dictation Menu	True
Dictionary	Dictionary	False
DigitalPrint		
DocInfoAuthor	Author	True
DocInfoDocTitle	Document Title	True
DocInfoFileName	File Name	True
DocInfoFilePath	File Path	True
DocuemntVersionHistory		
DocumentInfo	Document Info	True
DocumentInformationShowHide	Properties	True
DocumentLocation	Address:	True
DocumentMapReadingView	Navigation Pane	True
DocumentTemplate	Document Template	True
DocumentUpdatePane	Show Document Update Pane	False
DoubleStrikethrough	Double Strikethrough	True
DraftViewClassic	View Draft	True
DrawInkMode	Draw	False
Drawing1ColorPickerFill	Shape Fill	False
Drawing1ColorPickerFillWordArt	Shape Fill	False
Drawing1ColorPickerLineStyles	Picture Border	False
Drawing1ColorPickerLineStylesWordArt	Picture Border	False
Drawing1GalleryBrightness	Brightness	False
Drawing1GalleryContrast	Contrast	False
Drawing1GalleryTextures	Texture	False
DrawingCanvasExpand	Expand	False
DrawingCanvasFit	Fit	False
DrawingCanvasInsert	New Drawing Canvas	True
DrawingCanvasResize	Resize	False
DrawingCanvasScale	Scale Drawing	False
DrawingInsert	Insert Drawing	True
DrawingNewClassic	New Drawing	False
DrawingObjectFormatDialog	Advanced Tools...	False
DrawingSelectNext	Draw Select Next	False
DrawingSelectPrevious	Draw Select Previous	False
DrawingUnselect	Draw Unselect	False
DropCapInsertGallery	Drop Cap	False
DropCapOptionsDialog	Drop Cap Options...	False
EastAsianEditingMarks	Show/Hide Editing Marks	True
EditDocument	Edit Document	True
EditField	Edit Field...	True
EmailOptions	E-mail Options...	True
EnableBackgroundProofing	Enable Background Proofing	True
EndOfColumn	End Of Column	False
EndOfDocument	End of Document	True
EndOfDocumentExtend	End Of Doc Extend	True
EndOfLine	End of Line	True
EndOfLineExtend	End Of Line Extend	True
EndOfRow	End Of Row	False
EndOfWindowExtend	End Of Window Extend	True
EndnoteContinuationNotice	View Endnote Cont Notice	False
EndnoteContinuationSeparator	View Endnote Cont Separator	False
EndnoteInsertWord	Insert Endnote	True
EndnoteNextWord	Next Endnote	True
EndnoteOrFootnoteConvert	Convert Endnote/Footnote	False
EndnotePreviousWord	Previous Endnote	True
EndnoteSeparator	View Endnote Separator	False
EndnotesConvertAll	Edit Convert All Endnotes	False
EnglishWritingAssistant	English Assistance	False
EnvelopeChineseDialog	Chinese Envelope...	False
EnvelopesAndLabels	Envelope & Label Wizard	True
EnvelopesAndLabelsDialog	Envelopes...	True
EquationAccentGallery	Accent	True
EquationConvert	Convert	True
EquationConvertSplitButton	Convert	True
